name,type,gradeRange,enrollment,gsRating,city,state,ncesId,zipcode,lat,lon
Olga L. Reed Elementary School,public,KG_8,200,4,Los Alamos,CA,62871002781,93440,34.739475,-120.27971
Old River Elementary,public,KG_6,268,5,Brentwood,CA,62004014006,94513,37.935673,-121.6205
Mary Casey Black Elementary,public,KG_5,721,4,Brentwood,CA,60591013420,94513,37.948437,-121.68767
Delta Vista Middle School,public,6_8,904,3,Oakley,CA,62808008689,94561,37.993626,-121.68954
Iron House Elementary School,public,KG_5,809,3,Oakley,CA,62808011575,94561,37.993042,-121.68955
Garin Elementary School,public,KG_5,653,7,Brentwood,CA,60591000536,94513,37.927776,-121.69031
Edna Hill Middle School,public,6_8,976,6,Brentwood,CA,60591000535,94513,37.931347,-121.69118
Liberty High School,public,9_12,2708,8,Brentwood,CA,62160002573,94513,37.9349,-121.6951
Gehringer Elementary School,public,KG_5,786,5,Oakley,CA,62808004326,94561,37.976086,-121.69874
Brentwood Elementary School,public,KG_5,764,6,Brentwood,CA,60591000534,94513,37.92842,-121.70678
Marsh Creek Elementary School,public,KG_5,732,7,Brentwood,CA,60591010754,94513,37.953945,-121.70729
O'hara Park Middle School,public,6_8,813,3,Oakley,CA,62808009966,94561,37.989193,-121.71395
William B. Bristow Middle School,public,6_8,1193,6,Brentwood,CA,60591004444,94513,37.937603,-121.71454
Freedom High School,public,9_12,2589,6,Oakley,CA,62160005726,94561,37.96908,-121.71575
Oakley Elementary School,public,KG_5,418,2,Oakley,CA,62808004327,94561,37.995068,-121.71617
Laurel Elementary School,public,KG_5,488,4,Oakley,CA,62808000186,94561,37.983196,-121.71741
Altamont Creek Elementary School,public,KG_5,585,6,Livermore,CA,62211008438,94551,37.72232,-121.71838
Vintage Parkway Elementary School,public,KG_5,534,3,Oakley,CA,62808000190,94561,38.004215,-121.71969
Almond Grove Elementary,public,KG_5,514,7,Oakley,CA,62808013786,94561,37.974834,-121.72528
Leo R. Croce Elementary School,public,KG_5,601,5,Livermore,CA,62211000052,94551,37.717068,-121.72833
Andrew N. Christensen Middle School,public,6_8,715,7,Livermore,CA,62211002618,94551,37.72649,-121.72852
Arroyo Seco Elementary School,public,KG_5,678,6,Livermore,CA,62211002620,94550,37.68367,-121.72854
Ron Nunn Elementary School,public,KG_5,650,7,Brentwood,CA,60591010194,94513,37.92952,-121.72943
Loma Vista Elementary School,public,KG_5,613,6,Brentwood,CA,60591008455,94513,37.939884,-121.73572
Pioneer Elementary School,public,KG_5,875,6,Brentwood,CA,60591010753,94513,37.955204,-121.73692
R. Paul Krey Elementary School,public,KG_5,859,7,Brentwood,CA,60591010474,94513,37.918568,-121.73836
Orchard Park School,public,KG_8,724,4,Oakley,CA,60285011904,94561,38.000057,-121.74155
Jackson Avenue Elementary School,public,KG_5,526,6,Livermore,CA,62211002627,94550,37.68492,-121.74262
East Avenue Middle School,public,6_8,649,5,Livermore,CA,62211002623,94550,37.67982,-121.75005
Heritage High School,public,9_12,2589,10,Brentwood,CA,62160010755,94513,37.92518,-121.75251
Carmen Dragon Elementary School,public,KG_6,450,2,Antioch,CA,60285010752,94531,37.968277,-121.75269
Adams (J. Douglas) Middle School,public,6_8,1129,7,Brentwood,CA,60591011574,94513,37.918976,-121.75556
