zipcode,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04
94506,843000,825000,832000,867000,880000,895000,881000,866000,840000,814000,810000,860000,870000,972000,973000,980000,1000000,1070000,1073000,1057000,973000,960000,1020000,1090000,1040000,1025000,1025000,1110000,1150000,1150000,1150000,1080000,1109000,1125000,1165000,1108000,1075000,1090000,1183000,1200000,1200000,1205000,1204000,1180000,1160000,1160000,1199000,1308000,1250000,1175000,1250000,1280000,1278000,1253000,1225000,1225000,1188000,1192000,1213000,1275000,1281000,1282000,1283000,1330000,1339000,1335000,1318000,1301000,1330000,1342000,1335000,1323000,1323000,1315000,1353000,1355000,1375000,1370000,1345000,1345000,1350000,1375000,1325000,1280000,1300000,1333000,1428000,1421000,1413000,1335000,1350000,1380000,1400000,1400000,1395000,1375000,1377000,1377000,1450000,1450000,1515000,1478000,1497000,1490000,1525000,1550000,1610000,1615000,1651000,1835000,1851000
94507,1235000,1055000,1170000,1140000,1225000,1175000,1249000,1215000,1225000,1195000,1190000,1202000,1355000,1305000,1255000,1200000,1268000,1327000,1385000,1350000,1313000,1269000,1333000,1333000,1293000,1293000,1344000,1438000,1410000,1501000,1460000,1535000,1489000,1500000,1500000,1550000,1460000,1410000,1430000,1424000,1525000,1530000,1525000,1510000,1601000,1675000,1753000,1541000,1515000,1558000,1788000,1720000,1673000,1625000,1630000,1625000,1595000,1555000,1637000,1795000,1775000,1541000,1630000,1600000,1635000,1620000,1645000,1623000,1560000,1681000,1702000,1695000,1615000,1733000,1760000,1788000,1745000,1650000,1645000,1579000,1657000,1790000,1750000,1743000,1538000,1815000,1950000,1894000,1846000,1798000,1800000,1820000,1800000,1850000,1802000,1828000,1725000,1760000,1760000,1947000,2050000,1850000,1800000,1840000,2010000,1901000,1960000,1935000,2100000,2298000,2338000
94509,149000,148000,150000,155000,160000,172000,181000,185000,199000,197000,200000,191000,200000,198000,205000,210000,220000,231000,243000,260000,264000,259000,250000,252000,260000,266000,268000,270000,280000,285000,280000,275000,280000,281000,279000,271000,260000,265000,275000,278000,283000,295000,304000,305000,305000,305000,300000,303000,307000,325000,330000,334000,334000,350000,350000,350000,350000,350000,350000,350000,355000,358000,355000,359000,370000,375000,390000,400000,400000,400000,395000,385000,385000,385000,405000,405000,410000,410000,406000,405000,405000,400000,404000,400000,395000,395000,383000,400000,416000,425000,425000,430000,425000,430000,420000,415000,401000,424000,435000,446000,440000,437000,445000,460000,460000,470000,465000,475000,485000,501000,488000
94510,270000,281000,285000,290000,303000,313000,326000,335000,338000,353000,356000,359000,351000,375000,395000,411000,430000,435000,438000,440000,445000,458000,451000,450000,450000,450000,440000,463000,445000,445000,436000,430000,445000,445000,453000,475000,498000,485000,482000,485000,512000,520000,520000,515000,488000,480000,473000,490000,507000,503000,503000,493000,511000,540000,575000,599000,543000,525000,549000,549000,555000,531000,559000,574000,574000,573000,547000,545000,564000,582000,580000,575000,558000,575000,606000,640000,648000,645000,670000,675000,651000,605000,605000,610000,639000,635000,635000,620000,607000,625000,644000,645000,625000,623000,619000,620000,625000,630000,635000,615000,603000,593000,650000,670000,675000,680000,668000,685000,665000,715000,728000
94513,290000,295000,300000,305000,314000,328000,344000,340000,335000,325000,340000,350000,360000,374000,389000,405000,415000,430000,420000,420000,410000,411000,412000,411000,405000,419000,420000,428000,434000,439000,445000,449000,450000,441000,450000,455000,470000,458000,460000,469000,490000,500000,510000,510000,505000,484000,480000,479000,508000,504000,525000,524000,545000,540000,530000,535000,520000,520000,508000,530000,543000,555000,560000,563000,565000,563000,580000,580000,596000,578000,580000,560000,600000,610000,617000,600000,594000,600000,615000,620000,620000,597000,600000,613000,617000,605000,603000,600000,615000,615000,615000,610000,615000,620000,620000,626000,620000,600000,605000,607000,624000,635000,660000,675000,686000,678000,688000,696000,716000,755000,778000
94515,620000,620000,479000,500000,513000,715000,715000,575000,505000,505000,505000,370000,406000,433000,627000,627000,610000,610000,633000,643000,663000,611000,611000,495000,573000,693000,725000,645000,473000,625000,614000,640000,600000,609000,565000,690000,595000,595000,695000,590000,613000,613000,699000,783000,625000,703000,558000,708000,708000,643000,551000,615000,625000,675000,613000,608000,550000,703000,750000,752000,750000,726000,795000,828000,820000,788000,675000,750000,735000,694000,663000,717000,740000,743000,1050000,1050000,740000,703000,744000,760000,862000,918000,940000,828000,918000,809000,965000,796000,960000,793000,793000,710000,995000,1248000,975000,715000,715000,735000,825000,895000,763000,1208000,1285000,1140000,904000,855000,863000,1031000,1031000,1100000,939000
94517,462000,463000,463000,500000,500000,503000,560000,580000,550000,510000,528000,551000,565000,620000,620000,605000,570000,573000,570000,599000,599000,594000,599000,603000,604000,612000,635000,650000,650000,651000,651000,643000,640000,628000,655000,667000,663000,679000,650000,710000,725000,725000,689000,670000,700000,708000,695000,690000,635000,644000,670000,748000,735000,740000,720000,700000,722000,720000,725000,720000,714000,745000,800000,816000,770000,747000,731000,749000,755000,793000,805000,805000,815000,778000,815000,773000,765000,758000,799000,782000,760000,788000,795000,817000,729000,740000,819000,849000,867000,865000,843000,843000,830000,788000,795000,790000,845000,854000,868000,878000,890000,865000,886000,886000,920000,915000,900000,880000,878000,945000,990000
94518,295000,311000,295000,297000,295000,315000,313000,330000,325000,340000,340000,335000,321000,316000,350000,377000,372000,460000,476000,520000,443000,443000,450000,460000,460000,455000,487000,500000,494000,484000,455000,454000,465000,459000,420000,400000,460000,482000,561000,568000,549000,536000,537000,560000,508000,505000,460000,500000,498000,575000,578000,576000,585000,595000,601000,610000,598000,592000,570000,569000,578000,589000,617000,620000,635000,634000,640000,650000,630000,605000,580000,607000,652000,666000,671000,668000,674000,675000,646000,658000,649000,658000,619000,619000,619000,625000,640000,623000,670000,675000,705000,715000,670000,670000,643000,645000,645000,674000,685000,661000,630000,670000,720000,741000,770000,785000,790000,760000,785000,785000,850000
94519,229000,260000,261000,270000,265000,262000,287000,285000,295000,290000,300000,308000,330000,335000,352000,352000,351000,386000,403000,415000,395000,393000,384000,381000,385000,385000,395000,390000,390000,390000,399000,420000,404000,406000,400000,405000,400000,424000,435000,430000,429000,435000,450000,450000,460000,453000,455000,443000,460000,490000,490000,494000,492000,505000,510000,500000,495000,495000,499000,496000,525000,530000,538000,542000,549000,553000,540000,525000,530000,539000,564000,564000,560000,545000,564000,588000,616000,601000,595000,577000,574000,550000,538000,533000,533000,545000,563000,578000,585000,589000,595000,595000,603000,595000,603000,600000,615000,600000,615000,640000,652000,635000,645000,635000,653000,647000,655000,652000,665000,700000,708000
94520,173000,153000,150000,154000,175000,183000,200000,200000,206000,200000,211000,203000,245000,270000,277000,289000,320000,328000,310000,299000,299000,290000,308000,304000,313000,313000,310000,328000,328000,333000,340000,348000,338000,325000,330000,325000,330000,345000,347000,367000,369000,375000,372000,375000,365000,365000,365000,385000,372000,333000,342000,400000,415000,420000,408000,385000,395000,401000,400000,397000,390000,410000,400000,416000,471000,485000,478000,470000,450000,468000,470000,475000,470000,430000,475000,510000,525000,518000,497000,475000,479000,494000,483000,487000,483000,490000,480000,475000,460000,499000,510000,510000,493000,481000,480000,487000,500000,490000,490000,505000,533000,535000,560000,563000,565000,539000,563000,569000,605000,600000,613000
